Angola|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|+27 (0) 12 654 7957|+27 (0) 86 628 9800|+27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Argentinien|Suedamerika|Interbion s.r.l.|Tecnología para la Industria|Concepción Arenal 2978 - PB.C|1426 Buenos Aires|Argentina|+54 (0) 11 47 76.11 13|+54 (0) 11 47 76.45 80||interbion@interbion.com.ar|www.interbion.com.ar
Australien|Australien|Multivac Australia Pty Ltd|2 McGregor's Drive|Keilor Park|VIC 3042||+61 3 8331 2800|+61 3 8331 2810|||
Bangladesch|Asien|Multivac Laraon India Private Limited|137, Sector 5 IMT Manesar|122050|Gurgaon NCR|India|+91 124  4610000|||info@multivac.co-nospam.in|
Barbados|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|+506 2293 0946|+506 2239 9982||franz.langre@cr.multivac.com|
Belgien|Europa|GH nv/sa|Langlaarsteenweg 168|B-2630 Aartselaar|Belgien||+32 (0) 38 70.60 62|+32 (0) 38 70.60 69||info@ghmachines.be|www.ghmachines.be
Belize|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|+506 2293 0946|+506 2239 9982||franz.langre@cr.multivac.com|
Bosnien|Europa|Krois & Söhne Ges.m.b.H.|Herrnhausplatz 9|6230 Brixlegg|Österreich||+43 (0) 53 37.6 70 08|+43 (0) 53 37.6 70 10||office@krois.com|
Botswana|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|+27 (0) 12 654 7957|+27 (0) 86 628 9800|+27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Brasilien|Suedamerika|Sulmaq|Av. Scalabrini, 460|Guapore - RS|Brasilien||+55 (0) 54 3443 9533|+55 (0) 54 3443 9515||sulmaq@sulmaq.com.br|
Bulgarien|Europa|Microart 7|P.O. Box 107|5930 Belene|Bulgarien||+35 (0) 96 58.2 27 80|+35 (0) 96 58.2 68 20||microart7@vip.bg|
Chile|Suedamerika|Multivac Chile S.A.|Río Refugio 9665|Parque de Negocios ENEA|Pudahuel, Santiago|Chile|+56 (0) 2 79 960 00 Ext. 10|+56 (0) 27 99 60 01||enrique.klingenberg@cl.multivac.com|www.multivac.com
China|Asien|Shanghai H-Plus Machinery Co., Ltd.|Mr. Peter Sun|Room 8421|No. 881 Tianbao Road|Shanghai, 200086|+86 (0) 21.63 21 6|+86 (0) 21 63 21 75 86||pqsun@126.com|www.h-plus.net
Costa Rica|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|+506 2293 0946|+506 2239 9982||franz.langre@cr.multivac.com|
