Angola|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|Tel. +27 (0) 12 654 7957|Fax +27 (0) 86 628 9800|Mobil +27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Argentina|Suedamerika|Interbion s.r.l.|Tecnología para la Industria|Concepción Arenal 2978 - PB.C|1426 Buenos Aires|Argentina|Tel. +54 (0) 11 47 76.11 13|Fax +54 (0) 11 47 76.45 80||interbion@interbion.com.ar|www.interbion.com.ar
Australia|Australien|Multivac Australia Pty Ltd|2 McGregor's Drive|Keilor Park|VIC 3042||Tel. +61 3 8331 2800|Fax +61 3 8331 2810|||
Bangladesh|Asien|Multivac Laraon India Private Limited|137, Sector 5 IMT Manesar|122050|Gurgaon NCR|India|Tel. +91 124  4610000|||info@multivac.co-nospam.in|
Barbados|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982||franz.langre@cr.multivac.com|
Belgium|Europa|GH nv/sa|Langlaarsteenweg 168|B-2630 Aartselaar|Belgium||Tel. +32 (0) 38 70.60 62|Fax +32 (0) 38 70.60 69||info@ghmachines.be|www.ghmachines.be
Belize|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982||franz.langre@cr.multivac.com|
Bosnia|Europa|Krois & Söhne Ges.m.b.H.|Herrnhausplatz 9|6230 Brixlegg|Austria||Tel. +43 (0) 53 37.6 70 08|Fax +43 (0) 53 37.6 70 10||office@krois.com|
Botswana|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|Tel. +27 (0) 12 654 7957|Fax +27 (0) 86 628 9800|Mobil +27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Brazil|Suedamerika|Sulmaq|Av. Scalabrini, 460|Guapore - RS|Brazil||Tel. +55 (0) 54 3443 9533|Fax +55 (0) 54 3443 9515||sulmaq@sulmaq.com.br|
Bulgaria|Europa|Microart 7|P.O. Box 107|5930 Belene|Bulgaria||Tel. +35 (0) 96 58.2 27 80|Fax +35 (0) 96 58.2 68 20||microart7@vip.bg|
Chile|Suedamerika|Multivac Chile S.A.|Río Refugio 9665|Parque de Negocios ENEA|Pudahuel, Santiago|Chile|Tel. +56 (0) 2 79 960 00 Ext. 10|Fax +56 (0) 27 99 60 01||enrique.klingenberg@cl.multivac.com|www.multivac.com
China|Asien|Shanghai H-Plus Machinery Co., Ltd.|Mr. Peter Sun|Room 8421|No. 881 Tianbao Road|Shanghai, 200086|Tel. +86 (0) 21.63 21 6|Fax +86 (0) 21 63 21 75 86||pqsun@126.com|www.h-plus.net
Costa Rica|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982||franz.langre@cr.multivac.com|
DRC|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|Tel. +27 (0) 12 654 7957|Fax +27 (0) 86 628 9800|Mobil +27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Germany|Europa|Schröter Technologie GmbH & Co. KG|Bahnhofstrasse 86|D-33829 Borgholzhausen|Germany||Tel. +49 (0) 54 25.95 00|Fax +49 (0) 54 25.18 28||info@schroeter-technologie.de|
Dominican Republic|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982||franz.langre@cr.multivac.com|
Denmark|Europa|BM Food Tech ApS|Baldersbuen 29 D|2640 Hedehusene|Denmark||Tel. +45 (0) 46 59 50 20|Fax +45 (0) 46 59 50 21||johnj@bmfoodtech.dk|
El Salvador|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel +506 2293 0946|Fax +506 2239 9982||franz.langre@cr.multivac.com|
Estonia|Europa|Basko Food Technologies|Plienciema iela 16, Mãrupe|Mãrupes pag., Rigas raj., LV-2167|||Tel. +371 67 33 33 29|Fax +371 67 82 02 28||basko@basko.tv|www.basko.lv
Finland|Europa|JTJ-Sales Oy|P.O. Box 234|Linnanrakentajantie 6-8 C|00881 Helsinki|Finland|Tel. +358 (0) 2 07.78 05 10|Fax +358 (0) 2 07.78 05 19||jtj@jtj-sales.fi|
France|Europa|Jv La Francaise International|Les Cerisiers|61700 Champsecret|France||Tel. +33 (0) 2 33 30.41 44|Fax +33 (0) 2 33 38.13 54||jv.lafrancaiseint@wanadoo.fr|
Greece|Europa|Peami Ltd.|Food Processing Equipment|71 Monomatioustr|136 77 Athens Acharnes|Greece|Tel. +30 21 02 13 56 90|Fax +30 21 02 92 01 09||nmanolas@peami.gr|
UK|Europa|Multivac UK Limited|Multivac House, Rivermead Drive|Rivermead, Swindon|Wiltshire, SN5 7UY|United Kingdom|Tel. +44 1793 425 810|Fax +44(0)1793 616219||sales@multivac.co.uk|www.multivac.co.uk
Guatemala|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982||franz.langre@cr.multivac.com|
Haiti|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982||franz.langre@cr.multivac.com|
Honduras|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982||franz.langre@cr.multivac.com|
India|Asien|Multivac Laraon India Private Limited|137, Sector 5 IMT Manesar|122050|Gurgaon NCR|India|Tel. +91-124 4610000|||info@multivac.co.in|
Iran|Asien|Fanavaran Pishro Sepand Co. Food Processing Solutions (FPS.Co.)|Apt.8, No.32|Kamran Kabiri Ave|West Hemmat Exp'way|Teheran-Iran|Tel. +98 (0) 21.44 47 80 03|Fax +98 (0) 21.44 47 26 20||office@fps.co.ir|www.fps.co.ir
Israel|Asien|A.TomLon Ltd|Faran street 2|Yavne|81225 Israel||Tel. +972 73 7374433|Fax +972 8 9331414||arie@atomlon.com|tomer@atomlon.com
Italy|Europa|Multivac Italia S.r.l. a socio unico|Via Leonardo Da vinci, 27|20094 Corsico (MI)|Italy||Tel. +39 02 4503208 (r.a.)|Fax    +39 02 45863819|Mobil +39 338 8724468|stefano.galvagnini@it.multivac.com|
Jamaica|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982||franz.langre@cr.multivac.com|
