Angola|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|Tel. +27 (0) 12 654 7957|Fax +27 (0) 86 628 9800|Mobil +27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Argentinien|Südamerika|Interbion s.r.l.|Tecnología para la Industria|Concepción Arenal 2978 - PB.C|1426 Buenos Aires|Argentina|Tel. +54 (0) 11 47 76.11 13|Fax +54 (0) 11 47 76.45 80|interbion@interbion.com.ar|www.interbion.com.ar|
Australien|Australien|Multivac Australia Pty Ltd|2 McGregor's Drive|Keilor Park|VIC 3042|Tel. +61 3 8331 2800|Fax +61 3 8331 2810||||
Bangladesch|Asien|Multivac Laraon India Private Limited|137, Sector 5 IMT Manesar|122050|Gurgaon NCR|India|Tel. +91 124  4610000|info@multivac.co-nospam.in|||
Barbados|Südamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982|franz.langre@cr.multivac.com||
Belgien|Europa|GH nv/sa|Langlaarsteenweg 168|B-2630 Aartselaar|Belgien|Tel. +32 (0) 38 70.60 62|Fax +32 (0) 38 70.60 69|info@ghmachines.be|www.ghmachines.be||
Belize|Südamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982|franz.langre@cr.multivac.com||
Bosnien|Europa|Krois & Söhne Ges.m.b.H.|Herrnhausplatz 9|6230 Brixlegg|Österreich|Tel. +43 (0) 53 37.6 70 08|Fax +43 (0) 53 37.6 70 10|office@krois.com|||
Botswana|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|Tel. +27 (0) 12 654 7957|Fax +27 (0) 86 628 9800|Mobil +27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Brasilien|Südamerika|Sulmaq|Av. Scalabrini, 460|Guapore - RS|Brasilien|Tel. +55 (0) 54 3443 9533|Fax +55 (0) 54 3443 9515|sulmaq@sulmaq.com.br|||
Bulgarien|Europa|Microart 7|P.O. Box 107|5930 Belene|Bulgarien|Tel. +35 (0) 96 58.2 27 80|Fax +35 (0) 96 58.2 68 20|microart7@vip.bg|||
Chile|Südamerika|Multivac Chile S.A.|Río Refugio 9665|Parque de Negocios ENEA|Pudahuel, Santiago|Chile|Tel. +56 (0) 2 79 960 00 Ext. 10|Fax +56 (0) 27 99 60 01|enrique.klingenberg@cl.multivac.com|www.multivac.com|
China|Asien|Shanghai H-Plus Machinery Co., Ltd.|Mr. Peter Sun|Room 8421|No. 881 Tianbao Road|Shanghai, 200086|China|Tel. +86 (0) 21.63 21 6Mobil +86 (0) 1 88 0 21196889 92|Fax +86 (0) 21 63 21 75 86|pqsun@126.com|www.h-plus.net
Costa Rica|Südamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982|franz.langre@cr.multivac.com||
DRC|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|Tel. +27 (0) 12 654 7957|Fax +27 (0) 86 628 9800|Mobil +27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Deutschland|Europa|Schröter Technologie GmbH & Co. KG|Bahnhofstrasse 86|D-33829 Borgholzhausen|Deutschland|Tel. +49 (0) 54 25.95 00|Fax +49 (0) 54 25.18 28|info@schroeter-technologie.de|||
Dominikanische Republik|Südamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982|franz.langre@cr.multivac.com||
Dänemark|Europa|BM Food Tech ApS|Baldersbuen 29 D|2640 Hedehusene|Dänemark|Tel. +45 (0) 46 59 50 20|Fax +45 (0) 46 59 50 21|johnj@bmfoodtech.dk|||
El Salvador|Südamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel +506 2293 0946|Fax +506 2239 9982|franz.langre@cr.multivac.com||
Estland|Europa|Basko Food Technologies|Plienciema iela 16, Mãrupe|Mãrupes pag., Rigas raj., LV-2167|Litauen|Tel. +371 67 33 33 29|Fax +371 67 82 02 28|basko@basko.tv|www.basko.lv||
Finnland|Europa|JTJ-Sales Oy|P.O. Box 234|Linnanrakentajantie 6-8 C|00881 Helsinki|Finnland|Tel. +358 (0) 2 07.78 05 10|Fax +358 (0) 2 07.78 05 19|jtj@jtj-sales.fi||
Frankreich|Europa|Jv La Francaise International|Les Cerisiers|61700 Champsecret|Frankreich|Tel. +33 (0) 2 33 30.41 44|Fax +33 (0) 2 33 38.13 54|jv.lafrancaiseint@wanadoo.fr|||
Griechenland|Europa|Peami Ltd.|Food Processing Equipment|71 Monomatioustr|136 77 Athens Acharnes|Greece|Tel. +30 21 02 13 56 90|Fax +30 21 02 92 01 09|nmanolas@peami.gr||
Grossbritannien|Europa|Multivac UK Limited|Multivac House, Rivermead Drive|Rivermead, Swindon|Wiltshire|United Kingdom|SN5 7UY|Tel. +44 1793 425 810|Fax +44(0)1793 616219|sales@multivac.co.uk|www.multivac.co.uk
Guatemala|Südamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982|franz.langre@cr.multivac.com||
Haiti|Südamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982|franz.langre@cr.multivac.com||
